Tool	Category	Subcategory	Version	Base Image	Description	Entry point	Documentation
fastq-join	preprocessing	read-merging	1.3.1	ubuntu:22.04	fastq-join - Joining paired-end reads with overlaps.	fastq-join	https://github.com/brwnj/fastq-join
RiboDetector	preprocessing	rRNA-filtering	0.3.1	python:3.8-slim	RiboDetector (CPU-Mode) - Tool to detect and remove rRNA reads from metatranscriptomic data.	ribodetector_cpu	https://github.com/hzi-bifo/RiboDetector
PandaSeq	preprocessing	read-merging	2.11	ubuntu:22.04	PandaSeq - Tool for merging paired-end Illumina reads	pandaseq	https://github.com/neufeld/pandaseq
fastp	preprocessing	trimming	0.24.0	ubuntu:22.04	Fastp - All-in-one FASTQ preprocessor for quality control and trimming.	fastp	https://github.com/OpenGene/fastp
SortMeRNA	preprocessing	rRNA-filtering	4.3.7	ubuntu:22.04	SortMeRNA - rRNA filtering tool for metatranscriptomics and RNA-seq	sortmerna	https://github.com/biocore/sortmerna
cutadapt	preprocessing	trimming	5.0	python:3.11-slim	cutadapt - Adapter trimming tool for FASTQ files	cutadapt	https://cutadapt.readthedocs.io
trimmomatic	preprocessing	trimming	0.39	openjdk:11-jre-slim	Trimmomatic - Flexible read trimming tool for Illumina NGS data.	java  -jar  /opt/trimmomatic.jar	http://www.usadellab.org/cms/?page=trimmomatic
Mosaik	aligners	short-read	2.2.30	ubuntu:22.04	Mosaik - Sensitive and accurate aligner for both short and long reads	CMD: MosaikAligner	https://github.com/wanpinglee/MOSAIK
BBMap	aligners	short-read	39.23	openjdk:11-jre-slim	BBMap - Ultra-fast, tolerant read aligner for short and long reads	bbmap	https://sourceforge.net/projects/bbmap/
MMseqs2	aligners	general	17-b804f	ubuntu:22.04	MMseqs2 - Fast and sensitive protein sequence search and clustering suite	mmseqs	https://github.com/soedinglab/MMseqs2
minimap2	aligners	long-read	2.29	ubuntu:22.04	Minimap2 - Versatile fast aligner for long DNA or RNA reads	minimap2	https://github.com/lh3/minimap2
BWA	aligners	short-read	0.7.19	ubuntu:22.04	BWA - Burrows-Wheeler Aligner for short read alignment	bwa	https://github.com/lh3/bwa
HISAT2	aligners	rna-aligner	HISAT2_2.2.1_samtools_1.21_bcftools_1.21	ubuntu:22.04	HISAT2 + samtools + bcftools - RNA-Seq aligner with variant calling utilities	bash	https://github.com/DaehwanKimLab/hisat2, https://github.com/samtools/samtools, https://github.com/samtools/bcftools
HISAT2	aligners	rna-aligner	2.2.1	ubuntu:22.04	HISAT2 - Fast and sensitive spliced aligner for RNA-Seq data	CMD: hisat2	https://github.com/DaehwanKimLab/hisat2
